WALMART,WMT,90,NYSE,RETAIL
BERKSHIRE HATHAWAY,BRK.A,304671,NYSE,FINANCE
APPLE,APPL,208,NASDAQ,TECH
EXXON MOBIL,XOM,80,NYSE,ENERGY
MCKESSON,MCK,126,NYSE,HEALTH
UNITEDHEALTH GROUP,UNH,257,NYSE,HEALTH
CVS HEALTH,CVS,65,NYSE,RETAIL PHARMA
GENERAL MOTORS,GM,38,NYSE,AUTO
AT&T,T,33,NYSE,TELECOM
FORD MOTOR,F,10,NYSE,AUTO
AMERISOURCEBERGEN,ABC,81,NYSE,PHARMA
AMAZON.COM,AMZN,1823,NASDAQ,TECH
GENERAL ELECTRIC,GE,13,NYSE,CONGLOMERATE
VERIZON COMMUNICATIONS,VZ,52,NYSE,TELECOM
CARDINAL HEALTH,CAH,50,NYSE,PHARMA
COSTCO,COST,222,NASDAQ,RETAIL
WALGREENS BOOTS ALLIANCE,WBA,67,NASDAQ,RETAIL PHARMA
KROGER,KR,30,NYSE,GROCERY
CHEVRON,CVX,124,NYSE,ENERGY
FANNIE MAE,FNMA,2,OTCMKTS,FINANCE
J.P. MORGAN CHASE,JPM,117,NYSE,FINANCE
EXPRESS SCRIPTS HOLDING,ESRX,77,NASDAQ,HEALTH
HOME DEPOT,HD,195,NYSE,RETAIL
BOEING,BA,348,NYSE,TRANSPORTATION
WELLS FARGO,WFC,59,NYSE,FINANCE
BANK OF AMERICA CORP.,BAC,32,NYSE,FINANCE
ALPHABET,GOOGL,1238,NASDAQ,TECH
MICROSOFT,MSFT,108,NASDAQ,TECH
ANTHEM,ANTM,257,NYSE,HEALTH
CITIGROUP,C,72,NYSE,FINANCE
COMCAST,CMCSA,35,NASDAQ,TELECOM
IBM,IBM,147,NYSE,TECH
STATE FARM INSURANCE COS.,STFGX,81,NASDAQ,INSURANCE
PHILLIPS 66,PSX,121,NYSE,ENERGY
JOHNSON & JOHNSON,JNJ,132,NYSE,PHARMA
PROCTER & GAMBLE,PG,82,NYSE,RETAIL
